SFT;Salzlandkreis (SaAn)
SG;Solingen (NrWe)
SGH;Landkreis Mansfeld-Südharz (SaAn)
SHA;Schwäbisch Hall (BaWü)
SHG;Schaumburg in Stadthagen (NiSa)
SHK;Saale-Holzlandkreis (Thür)
SHL;Suhl (Thür)
SI;Siegen-Wittgenstein (NrWe)
SIG;Sigmaringen (BaWü)
SIM;Rhein-Hunsrück-Kreis in Simmern (RhPf)
SK;Saalekreise, Stadt/ Landkreis (SaAn)
SL;Schleswig-Flensburg (SlHo)
SLE;Kreis Euskirchen, Schleiden (NrWe)
SLF;Saalfeld-Rudolstadt (Thür)
SLK;Salzlandkreis (SaAn)
SLN;Altenburger Land (Thür)
SLS;Saarlouis (Saar)
SLü;Main-Kinzing-Kreis (Hess)
SLZ;Wartburgkreis (Thür)
SM;Schmalkalden-Meiningen (Thür)
SN;Schwerin,Stadt (MeVo)
SO;Soest (NrWe)
SOB;Neuburg-Schrobenhausen (Bay)
SOG;Weilheim-Schongau (Bay)
SöM;Sömmerda (Thür)
SOK;Saale-Orla-Kreis (Thür)
SON;Sonneberg (Thür)
SP;Speyer (RhPf)
SPB;Spree-Neiße (Bran)
SPN;Spree-Neisse (Bran)
SR;Straubing-Bogen, Stadt und Kreis (Bay)
SRB;Märkisch Oderland (Bran)
SRO;Saale-Holzland-Kreis (Thür)
ST;Steinfurt (NrWe)
STA;Starnberg (Bay)
STB;Ludwigslust-Parchim (MeVo)
STD;Stade (NiSa)
STE;Lichtenfels (Bay)
STL;Stollberg, Erzgebirgskreis (Sachs)
SU;Rhein-Sieg-Kreis in Siegburg (NrWe)
SUL;Amberg-Sulzbach (Bay)
SüW;Südl. Weinstrasse in Landau (RhPf)
SW;Schweinfurt, Stadt und Kreis (Bay)
SWA;Rheingau-Taunus-Kreis (Hess)
SY;Diepholz (Syke), Landkreis südlich von Bremen (NiSa)
SZ;Salzgitter (NiSa)
SZB;Erzgebirgskreis (Sachs)
TBB;Main-Tauber-Kreis in Tauberbischofsheim (BaWü)
TDO;Torgau Delitzsch - Oschatz, Landkreis Nordsachsen (Sachs)
TE;Steinfurt (NrWe)
TET;Teterow, Landkreis Rostock (MeVo)
TF;Teltow-Fläming (Bran)
TG;Landkreis Nordsachsen (Sachs)
TIR;Tirschenreuth (Bay)
TO;Landkreis Nordsachsen (Sachs)
TöL;Bad Tölz-Wolfratshausen (Bay)
TP;Uckermark (Bran)
TR;Trier-Saarburg (RhPf)
TS;Traunstein (Bay)
Tü;Tübingen (BaWü)
TUT;Tuttlingen (BaWü)
UE;Uelzen (NiSa)
UEM;Landkreis Vorpommern-Greifswald (MeVo)
UER;Landkreis Vorpommern-Greifswald (MeVo)
UFF;Neustadt a. d. Aisch-Bad Windsheim (Bay)
UH;Unstrut-Hainich-Kreis (Thür)
UL;Alb-Donau-Kreis und Ulm (BaWü)
UM;Uckermark (Bran)
UN;Unna/Westfalen (NrWe)
USI;Hochtaunuskreis (Hess)
V;Vogtlandkreis (Sachs)
VAI;Ludwigsburg (BaWü)
VB;Vogelsbergkreis in Lauterbach (Hess)
VEC;Vechta (NiSa)
VER;Verden/Aller (NiSa)
VG;Landkreis Vorpommern-Greifswald (MeVo)
VIB;Landshut, Rottal-Inn (Bay)
VIE;Viersen (NrWe)
VK;Völklingen (Saar)
VOH;Neustadt a. d. Waldnaab (Bay)
VR;Landkreis Vorpommern-Rügen (MeVo)
VS;Schwarzwald-Baar-Kreis (BaWü)
W;Wuppertal (NrWe)
